Date,TempAvgF,DewPointAvgF,HumidityAvgPercent,WindAvgMPH,PrecipitationSumInches
2013-12-21,60,49,75,4,0.46
2013-12-22,48,36,68,6,0
2013-12-23,45,27,52,3,0
2013-12-24,46,28,56,4,0
2013-12-25,50,40,71,2,0
2013-12-26,48,36,63,3,0
2013-12-27,53,39,65,1,0
2013-12-28,51,39,64,2,0
2013-12-29,50,41,76,5,0
2013-12-30,40,26,60,5,0
2013-12-31,46,28,54,1,0
2014-01-01,54,42,68,4,0
2014-01-02,44,26,55,8,0
2014-01-03,43,22,49,4,0
2014-01-04,57,48,68,7,0
2014-01-05,47,32,59,10,0
2014-01-06,29,8,38,7,0
2014-01-07,35,11,43,5,0
2014-01-08,47,45,75,1,0.16
2014-01-09,62,55,80,3,0
2014-01-10,65,61,81,6,0.1
2014-01-11,62,37,53,3,0
2014-01-12,57,47,68,4,0.01
2014-01-13,57,36,51,7,0
2014-01-14,57,25,41,5,0
2014-01-15,52,23,35,4,0
2014-01-16,56,27,38,4,0
2014-01-17,54,20,31,5,0
2014-01-18,54,33,45,2,0
2014-01-19,59,30,39,3,0
2014-01-20,64,36,44,5,0
2014-01-21,51,23,39,6,0
2014-01-22,54,27,45,4,0
2014-01-23,42,29,64,9,0.06
2014-01-24,33,17,60,5,0.05
2014-01-25,48,27,53,1,0
2014-01-26,60,39,52,3,0
2014-01-27,47,23,44,9,0.02
2014-01-28,33,14,48,6,0.05
2014-01-29,38,13,42,5,0
2014-01-30,48,36,64,7,0
2014-01-31,68,54,64,9,0
2014-02-01,66,59,71,6,0
2014-02-02,45,33,69,11,0.02
2014-02-03,40,33,74,6,0
2014-02-04,53,41,68,2,0.15
2014-02-05,40,26,60,10,0
2014-02-06,29,15,54,8,0
2014-02-07,34,24,68,3,0
2014-02-08,51,36,63,5,0
2014-02-09,59,45,70,4,0
2014-02-10,48,36,74,9,0
2014-02-11,35,29,80,9,0.1
2014-02-12,45,29,57,5,0
2014-02-13,51,34,58,4,0
2014-02-14,67,37,51,6,0
2014-02-15,59,35,43,5,0
2014-02-16,68,57,74,5,0
2014-02-17,70,50,52,5,0
2014-02-18,69,53,55,4,0
2014-02-19,73,60,70,7,0
2014-02-20,70,50,48,8,0
2014-02-21,57,27,43,5,0
2014-02-22,63,46,53,6,0
2014-02-23,74,56,57,4,0
2014-02-24,66,51,65,4,0
2014-02-25,62,60,85,5,0
2014-02-26,44,33,63,8,0.11
2014-02-27,45,27,56,3,0
2014-02-28,62,46,60,6,0
2014-03-01,68,57,74,5,0
2014-03-02,51,45,79,10,0.08
2014-03-03,36,20,56,10,0.08
2014-03-04,40,31,72,4,0.17
2014-03-05,46,39,76,3,0
2014-03-06,54,38,62,4,0
2014-03-07,53,42,65,6,0
2014-03-08,52,49,88,4,0.74
2014-03-09,49,39,71,5,0.11
2014-03-10,61,51,69,3,0.01
2014-03-11,70,54,66,5,0
2014-03-12,60,28,36,11,0
2014-03-13,52,26,35,4,0
2014-03-14,62,51,68,5,0
2014-03-15,68,62,81,4,0.07
2014-03-16,56,45,66,11,0
2014-03-17,55,26,36,6,0
2014-03-18,65,42,49,8,0
2014-03-19,62,37,52,6,0
2014-03-20,59,36,52,2,0
2014-03-21,67,54,69,7,0
2014-03-22,69,62,80,4,0
2014-03-23,54,43,62,9,0
2014-03-24,58,42,58,3,0
2014-03-25,57,38,61,5,0
2014-03-26,60,47,57,10,0
2014-03-27,72,63,78,8,0.01
2014-03-28,76,61,64,5,0
2014-03-29,64,40,43,5,0
2014-03-30,62,43,56,8,0
2014-03-31,73,57,65,9,0
2014-04-01,76,64,71,8,0
2014-04-02,76,67,78,9,0
2014-04-03,77,67,74,7,0
2014-04-04,64,35,58,8,0
2014-04-05,60,38,48,4,0
2014-04-06,57,49,76,5,0.2
2014-04-07,62,49,69,3,0.27
2014-04-08,64,38,57,8,0
2014-04-09,65,42,51,6,0
2014-04-10,72,53,59,10,0
2014-04-11,73,59,65,8,0
2014-04-12,75,62,66,10,0
2014-04-13,73,66,79,7,0
2014-04-14,58,46,65,10,1.34
2014-04-15,52,25,39,4,0
2014-04-16,57,40,56,7,0
2014-04-17,62,57,85,4,0.06
2014-04-18,69,57,68,2,0.01
2014-04-19,66,54,68,5,0
2014-04-20,68,59,77,6,0
2014-04-21,74,63,72,5,0.01
2014-04-22,75,58,61,3,0
2014-04-23,73,61,68,7,0
2014-04-24,78,62,63,5,0
2014-04-25,76,54,51,6,0
2014-04-26,77,66,73,8,0
2014-04-27,85,66,51,6,0
2014-04-28,80,39,39,4,0
2014-04-29,72,34,36,7,0
2014-04-30,66,33,32,6,0
2014-05-01,65,33,39,3,0
2014-05-02,70,35,33,3,0
2014-05-03,76,35,27,4,0
2014-05-04,76,37,27,7,0
2014-05-05,76,56,61,8,0
2014-05-06,76,62,66,9,0
2014-05-07,79,64,65,9,0
2014-05-08,79,70,75,8,0.06
2014-05-09,76,68,69,5,0
2014-05-10,76,62,71,6,0
2014-05-11,83,67,63,10,0
2014-05-12,72,70,87,7,2.45
2014-05-13,61,54,73,8,0.94
2014-05-14,64,43,57,7,0.14
2014-05-15,65,41,55,3,0
2014-05-16,74,43,40,7,0
2014-05-17,73,55,58,9,0
2014-05-18,74,59,67,8,0
2014-05-19,76,61,65,10,0
2014-05-20,78,62,63,9,0
2014-05-21,80,64,61,8,0
2014-05-22,79,65,70,7,0
2014-05-23,78,67,69,6,0.19
2014-05-24,78,68,79,7,0
2014-05-25,80,66,66,6,0
2014-05-26,70,65,83,5,1.56
2014-05-27,68,64,86,3,1.75
2014-05-28,76,66,74,4,0
2014-05-29,78,63,66,2,0
2014-05-30,81,65,60,3,0
2014-05-31,82,67,63,3,0
2014-06-01,80,69,69,4,0
2014-06-02,83,69,67,7,0
2014-06-03,83,70,67,6,0
2014-06-04,83,70,70,7,0
2014-06-05,83,70,72,7,0
2014-06-06,83,70,70,7,0
2014-06-07,83,70,71,7,0
2014-06-08,83,70,67,7,0
2014-06-09,77,71,78,4,0.55
2014-06-10,78,61,64,3,0
2014-06-11,80,66,64,5,0
2014-06-12,80,72,68,8,1.49
2014-06-17,84,69,69,9,0
2014-06-18,85,72,68,9,0.02
2014-06-19,84,71,68,6,0.01
2014-06-20,83,71,69,5,0
2014-06-21,84,72,72,6,0
2014-06-22,83,72,70,8,0
2014-06-23,78,72,75,4,0.27
2014-06-24,84,72,72,4,0.24
2014-06-25,80,72,77,5,0.49
2014-06-26,80,71,76,7,0.01
2014-06-27,83,72,69,8,0
2014-06-28,86,73,69,9,0
2014-06-29,86,73,69,9,0
2014-06-30,87,71,64,8,0
2014-07-01,86,70,64,6,0
2014-07-02,85,69,64,4,0
2014-07-03,84,69,62,3,0.07
2014-07-04,82,68,67,4,0
2014-07-05,82,69,70,4,0
2014-07-06,84,70,72,5,0
2014-07-07,85,67,61,5,0
2014-07-08,86,68,63,7,0
2014-07-09,85,66,59,6,0
2014-07-10,84,68,64,5,0
2014-07-11,83,67,60,5,0
2014-07-12,85,66,59,4,0
2014-07-13,87,67,63,4,0
2014-07-14,88,67,55,4,0
2014-07-15,83,71,71,3,0.06
2014-07-16,84,71,68,4,0.31
2014-07-17,82,74,77,5,3.53
2014-07-18,75,71,87,3,1.52
2014-07-19,78,68,76,2,0
2014-07-20,84,72,73,4,0
2014-07-21,87,73,70,6,0
2014-07-22,86,72,68,2,0
2014-07-23,86,71,66,3,0
2014-07-24,84,72,70,3,0.09
2014-07-25,86,70,63,5,0
2014-07-26,87,71,66,6,0
2014-07-27,87,71,64,6,0
2014-07-28,87,69,62,3,0
2014-07-29,87,70,63,4,0
2014-07-30,86,68,60,6,0
2014-07-31,87,71,64,4,0
2014-08-01,82,65,59,5,0
2014-08-02,79,66,70,3,0
2014-08-03,83,66,62,4,0
2014-08-04,83,69,66,3,0
2014-08-05,85,68,61,3,0
2014-08-06,88,68,64,5,0
2014-08-07,90,71,59,6,0
2014-08-08,89,70,60,6,0
2014-08-09,89,68,60,5,0
2014-08-10,89,69,58,4,0
2014-08-11,89,71,62,3,0.05
2014-08-12,87,66,62,4,0
2014-08-13,83,57,45,4,0
2014-08-14,84,61,50,4,0
2014-08-15,88,69,58,5,0
2014-08-16,91,69,57,7,0
2014-08-17,90,71,56,6,0
2014-08-18,90,71,59,7,0
2014-08-19,87,68,55,7,0
2014-08-20,90,71,57,8,0
2014-08-21,92,71,55,9,0
2014-08-22,91,69,55,8,0
2014-08-23,88,69,62,6,0
2014-08-24,89,70,59,5,0
2014-08-25,89,67,59,5,0
2014-08-26,89,68,52,4,0
2014-08-27,87,66,58,4,0
2014-08-28,88,71,61,5,0
2014-08-29,87,72,64,5,0.07
2014-08-30,85,72,69,4,0
2014-08-31,87,72,68,7,0
2014-09-01,90,72,62,8,0
2014-09-02,88,73,66,8,0.01
2014-09-03,88,70,61,6,0
2014-09-04,86,74,65,5,0.98
2014-09-05,87,73,63,4,0.02
2014-09-06,86,71,67,3,0.19
2014-09-07,82,72,78,3,0.22
2014-09-08,84,69,70,3,0
2014-09-09,86,69,63,6,0
2014-09-10,88,71,63,7,0
2014-09-11,89,71,60,5,0
2014-09-12,81,70,67,5,0.51
2014-09-13,63,60,92,5,0.68
2014-09-14,71,64,87,2,0
2014-09-15,79,68,76,2,0
2014-09-16,84,72,70,3,0.02
2014-09-17,83,74,75,3,0.35
2014-09-18,81,73,78,2,3.66
2014-09-19,80,74,85,3,0.13
2014-09-20,82,73,78,3,0.21
2014-09-21,81,70,71,3,0
2014-09-22,81,68,69,4,0
2014-09-23,76,58,57,3,0
2014-09-24,72,56,64,2,0
2014-09-25,73,62,74,3,0
2014-09-26,76,64,71,3,0
2014-09-27,74,66,78,2,0
2014-09-28,77,65,72,3,0
2014-09-29,78,64,68,2,0
2014-09-30,78,65,70,2,0
2014-10-01,84,70,68,5,0
2014-10-02,84,72,72,7,0.03
2014-10-03,75,51,44,7,0
2014-10-04,70,48,51,4,0
2014-10-05,75,62,69,6,0
2014-10-06,81,69,73,6,0
2014-10-07,83,70,67,5,0
2014-10-08,82,70,70,6,0
2014-10-09,84,71,69,7,0
2014-10-10,84,70,66,7,0
2014-10-11,69,62,85,5,1.42
2014-10-12,69,63,86,2,0.01
2014-10-13,69,59,63,10,0.09
2014-10-14,66,43,49,5,0
2014-10-15,72,46,46,2,0
2014-10-16,72,49,50,4,0
2014-10-17,74,60,69,3,0
2014-10-18,76,64,67,2,0
2014-10-19,74,63,74,2,0
2014-10-20,73,61,73,2,0
2014-10-21,71,55,61,3,0
2014-10-22,72,59,67,2,0
2014-10-23,75,59,64,2,0
2014-10-24,73,59,64,2,0
2014-10-25,75,59,62,2,0
2014-10-26,74,58,62,4,0
2014-10-27,74,61,67,6,0
2014-10-28,75,65,74,2,0
2014-10-29,73,62,68,3,0
2014-10-30,73,59,72,2,0
2014-10-31,66,49,60,7,0.3
2014-11-01,58,39,54,5,0
2014-11-02,62,45,61,6,0
2014-11-03,68,59,72,6,0
2014-11-04,67,63,87,5,0.56
2014-11-05,57,56,97,6,1.51
2014-11-06,59,51,75,4,0.04
2014-11-07,60,41,53,2,0
2014-11-08,62,47,67,4,0
2014-11-09,61,43,59,3,0
2014-11-10,63,53,70,6,0
2014-11-11,54,41,67,7,0
2014-11-12,44,23,50,9,0
2014-11-13,36,13,43,8,0
2014-11-14,38,17,44,3,0
2014-11-15,44,39,72,4,0.02
2014-11-16,42,45,91,6,0.01
2014-11-17,42,21,52,6,0
2014-11-18,43,23,51,2,0
2014-11-19,51,38,64,3,0
2014-11-20,57,57,85,3,0.01
2014-11-21,68,65,90,5,0.33
2014-11-22,63,62,97,7,3.33
2014-11-23,67,48,62,5,0
2014-11-24,53,32,47,5,0
2014-11-25,53,33,53,3,0
2014-11-26,60,33,40,3,0
2014-11-27,53,33,52,4,0
2014-11-28,57,45,62,4,0
2014-11-29,65,57,75,7,0
2014-11-30,72,62,71,7,0
2014-12-01,54,42,69,6,0
2014-12-02,45,32,63,4,0
2014-12-03,54,50,88,1,0
2014-12-04,62,61,94,3,0.06
2014-12-05,69,64,82,5,0.01
2014-12-06,62,51,72,6,0
2014-12-07,54,48,83,4,0
2014-12-08,58,46,69,3,0
2014-12-09,56,45,70,1,0
2014-12-10,57,50,75,1,0.02
2014-12-11,62,57,85,5,0.04
2014-12-12,65,57,78,5,0
2014-12-13,65,57,79,5,0
2014-12-14,68,62,82,6,0.07
2014-12-15,63,51,58,5,0
2014-12-16,55,34,47,5,0
2014-12-17,51,44,75,4,0.1
2014-12-18,55,51,92,3,0
2014-12-19,53,48,89,7,0.59
2014-12-20,52,45,82,3,0
2014-12-21,53,49,83,5,0
2014-12-22,67,52,63,5,0
2014-12-23,51,40,66,8,0
2014-12-24,46,32,62,6,0
2014-12-25,49,33,61,6,0
2014-12-26,64,57,83,5,0.01
2014-12-27,54,49,79,8,0.03
2014-12-28,40,30,71,4,0.13
2014-12-29,49,36,68,2,0
2014-12-30,43,40,87,6,0
2014-12-31,39,29,70,8,0
2015-01-01,37,35,82,5,0.63
2015-01-02,41,39,95,5,0.2
2015-01-03,51,40,74,3,0.76
2015-01-04,43,30,69,7,0
2015-01-05,41,23,54,4,0
2015-01-06,54,32,50,2,0
2015-01-07,41,27,54,9,0
2015-01-08,30,12,48,5,0
2015-01-09,36,26,62,6,0.02
2015-01-10,34,31,76,3,0.3
2015-01-11,42,39,90,3,0.17
2015-01-12,43,41,88,5,0
2015-01-13,39,33,83,7,0
2015-01-14,39,36,86,5,0
2015-01-15,49,36,68,4,0
2015-01-16,51,38,64,3,0
2015-01-17,54,40,63,3,0
2015-01-18,59,30,37,3,0
2015-01-19,56,41,59,3,0
2015-01-20,61,44,59,3,0
2015-01-21,53,50,84,6,0.16
2015-01-22,47,46,91,10,2.07
2015-01-23,45,38,77,6,0.4
2015-01-24,50,36,62,4,0
2015-01-25,57,34,53,6,0
2015-01-26,60,37,43,5,0
2015-01-27,67,40,47,6,0
2015-01-28,62,42,60,4,0
2015-01-29,66,49,68,4,0
2015-01-30,53,36,52,6,0
2015-01-31,56,51,80,4,0.31
2015-02-01,59,54,77,7,0.02
2015-02-02,41,24,48,6,0
2015-02-03,42,37,76,2,0.26
2015-02-04,49,45,92,2,0.06
2015-02-05,45,35,77,7,0
2015-02-06,49,38,69,3,0
2015-02-07,55,46,71,5,0
2015-02-08,68,56,72,6,0
2015-02-09,68,44,49,3,0
2015-02-10,64,44,57,4,0
2015-02-11,65,49,64,5,0
2015-02-12,53,34,51,7,0
2015-02-13,55,38,58,2,0
2015-02-14,63,47,60,3,0
2015-02-15,63,58,80,5,0
2015-02-16,51,39,79,9,0.01
2015-02-17,45,27,59,7,0
2015-02-18,49,29,56,4,0
2015-02-19,54,40,61,5,0
2015-02-20,65,56,72,9,0
2015-02-21,67,56,69,6,0
2015-02-22,47,44,80,7,0.02
2015-02-23,34,29,87,9,0.01
2015-02-24,34,29,84,4,0
2015-02-25,49,34,64,3,0.01
2015-02-26,43,31,74,7,0
2015-02-27,34,25,72,7,0.01
2015-02-28,34,31,93,5,0.1
2015-03-01,39,38,95,6,0.09
2015-03-02,42,40,95,4,0.02
2015-03-03,52,49,95,1,0.01
2015-03-04,52,56,95,6,0.15
2015-03-05,39,25,61,10,0.13
2015-03-06,42,23,54,2,0
2015-03-07,49,30,56,2,0
2015-03-08,51,48,69,3,0.45
2015-03-09,52,49,97,4,2.17
2015-03-10,57,50,78,4,0
2015-03-11,57,50,79,6,0
2015-03-12,63,52,73,5,0.02
2015-03-13,66,52,68,3,0
2015-03-14,66,49,61,6,0
2015-03-15,60,51,72,3,0
2015-03-16,65,56,73,3,0
2015-03-17,70,63,82,3,0.01
2015-03-18,71,61,74,4,0.13
2015-03-19,73,64,79,5,0
2015-03-20,64,61,89,4,1.17
2015-03-21,58,56,95,4,0.43
2015-03-22,68,57,75,4,0
2015-03-23,66,56,73,3,0
2015-03-24,71,60,72,7,0
2015-03-25,73,61,72,8,0
2015-03-26,62,48,62,10,0.05
2015-03-27,64,36,44,4,0
2015-03-28,66,44,54,5,0
2015-03-29,71,56,67,8,0
2015-03-30,72,62,76,5,0
2015-03-31,74,62,74,7,0
2015-04-01,76,65,71,7,0
2015-04-02,76,66,76,8,0
2015-04-03,76,62,67,7,0
2015-04-04,63,44,53,8,0
2015-04-05,64,59,78,4,0.02
2015-04-06,75,65,76,7,0
2015-04-07,78,65,71,8,0
2015-04-08,74,67,81,8,0
2015-04-09,79,67,73,7,0
2015-04-10,65,53,70,5,0.09
2015-04-11,65,62,86,3,0
2015-04-12,75,67,81,5,0.01
2015-04-13,76,65,67,4,0.09
2015-04-14,67,55,67,6,0
2015-04-15,69,56,69,4,0
2015-04-16,74,66,78,4,0.01
2015-04-17,71,65,81,4,0.41
2015-04-18,66,63,82,4,0.57
2015-04-19,73,58,60,6,0
2015-04-20,64,43,48,6,0
2015-04-21,66,53,66,5,0
2015-04-22,74,65,79,7,0
2015-04-23,77,69,85,4,0
2015-04-24,77,72,85,5,0.43
2015-04-25,82,64,61,5,0.04
2015-04-26,78,69,77,8,0.08
2015-04-27,74,62,66,4,0.56
2015-04-28,59,52,74,8,0
2015-04-29,63,45,61,5,0
2015-04-30,67,49,60,3,0
2015-05-01,70,52,60,2,0
2015-05-02,71,53,58,4,0
2015-05-03,71,58,67,6,0
2015-05-04,75,63,71,8,0
2015-05-05,75,67,77,7,3.84
2015-05-06,79,69,74,8,0.01
2015-05-07,78,71,81,9,0.02
2015-05-08,76,73,88,6,0.29
2015-05-09,79,71,79,9,0.02
2015-05-10,82,71,71,10,0
2015-05-11,74,67,78,5,0.4
2015-05-12,67,65,91,5,0.23
2015-05-13,67,66,97,4,1.12
2015-05-14,78,71,83,5,0.08
2015-05-15,72,68,87,4,0.36
2015-05-16,77,70,79,9,0
2015-05-17,75,68,83,5,2.6
2015-05-18,81,72,77,5,0
2015-05-19,82,72,73,8,0
2015-05-20,81,72,75,5,0.33
2015-05-21,69,63,84,6,0.02
2015-05-22,70,67,91,4,0.03
2015-05-23,77,71,83,7,1.41
2015-05-24,73,68,81,6,0.76
2015-05-25,74,69,87,5,5.2
2015-05-26,78,69,80,6,0
2015-05-27,76,70,82,5,0
2015-05-28,78,73,80,6,0.2
2015-05-29,77,66,76,5,0.67
2015-05-30,79,68,74,2,0
2015-05-31,77,64,67,2,0
2015-06-01,76,65,70,2,0
2015-06-02,79,66,70,2,0
2015-06-03,78,66,69,5,0
2015-06-04,78,66,68,4,0
2015-06-05,80,68,72,4,0
2015-06-06,80,67,72,3,0
2015-06-07,81,67,71,4,0
2015-06-08,82,68,67,3,0
2015-06-09,84,67,60,3,0
2015-06-10,83,68,62,4,0
2015-06-11,84,70,71,7,0
2015-06-12,84,73,70,6,0.01
2015-06-13,85,72,70,7,0
2015-06-14,79,73,87,6,1.34
2015-06-15,82,73,78,4,0.19
2015-06-16,78,73,84,7,1.34
2015-06-17,81,74,83,5,2.66
2015-06-18,82,73,82,4,0
2015-06-19,78,73,87,1,1.09
2015-06-20,78,73,90,3,0.49
2015-06-21,79,75,85,4,0.93
2015-06-22,81,74,84,5,0
2015-06-23,84,73,73,5,0
2015-06-24,83,73,78,3,0
2015-06-25,83,72,76,4,0
2015-06-26,85,73,73,6,0
2015-06-27,83,73,75,1,0.01
2015-06-28,82,73,73,2,0.08
2015-06-29,84,72,75,5,0
2015-06-30,84,73,76,4,0.75
2015-07-01,81,71,78,4,0
2015-07-02,81,71,78,6,0
2015-07-03,84,72,69,6,0
2015-07-04,84,73,73,7,0
2015-07-05,84,73,75,7,0
2015-07-06,84,72,72,8,0
2015-07-07,85,73,71,8,0
2015-07-08,85,72,69,8,0
2015-07-09,85,71,65,8,0
2015-07-10,84,70,68,6,0
2015-07-11,83,70,69,5,0
2015-07-12,84,71,67,5,0
2015-07-13,86,71,69,5,0
2015-07-14,86,69,61,6,0
2015-07-15,85,70,64,6,0
2015-07-16,85,70,69,6,0
2015-07-17,86,72,66,7,0
2015-07-18,88,72,65,7,0
2015-07-19,87,72,65,6,0
2015-07-20,86,71,66,5,0
2015-07-21,86,71,66,6,0
2015-07-22,87,72,64,7,0
2015-07-23,88,70,62,7,0
2015-07-24,88,71,62,6,0
2015-07-25,87,70,66,5,0
2015-07-26,87,72,67,6,0
2015-07-27,89,72,62,6,0
2015-07-28,89,71,63,8,0
2015-07-29,89,71,61,6,0
2015-07-30,88,66,55,2,0
2015-07-31,90,68,52,4,0
2015-08-01,86,61,47,3,0
2015-08-02,88,61,48,3,0
2015-08-03,87,64,54,4,0
2015-08-04,89,70,62,6,0
2015-08-05,90,71,59,7,0
2015-08-06,90,71,59,7,0
2015-08-07,89,70,61,6,0
2015-08-08,90,73,66,10,0
2015-08-12,92,68,43,3,0
2015-08-13,91,67,51,3,0
2015-08-14,90,69,58,4,0
2015-08-15,89,66,54,3,0
2015-08-16,87,67,58,4,0
2015-08-17,86,68,61,4,0
2015-08-18,88,70,62,7,0
2015-08-19,89,72,62,6,0
2015-08-20,79,71,78,4,0.35
2015-08-21,82,71,73,5,0
2015-08-22,87,73,65,6,0
2015-08-23,89,72,64,5,0
2015-08-24,89,68,58,2,0
2015-08-25,89,68,56,3,0
2015-08-26,86,68,62,3,0
2015-08-27,86,64,56,4,0
2015-08-28,85,60,50,4,0
2015-08-29,83,63,55,3,0
2015-08-30,86,65,55,3,0
2015-08-31,86,67,59,5,0
2015-09-01,84,69,64,5,0
2015-09-02,83,67,65,4,0
2015-09-03,84,69,64,3,0
2015-09-04,88,72,62,6,0
2015-09-05,90,73,62,7,0.01
2015-09-06,88,71,63,6,0
2015-09-07,88,70,61,6,0
2015-09-08,88,71,61,5,0
2015-09-09,84,73,74,3,1.05
2015-09-10,84,73,71,2,0.79
2015-09-11,84,73,72,3,0
2015-09-12,80,57,55,5,0
2015-09-13,77,51,49,4,0
2015-09-14,77,57,53,5,0
2015-09-15,84,70,67,5,0
2015-09-16,84,72,72,6,0.04
2015-09-17,86,71,67,6,0
2015-09-18,86,70,64,6,0
2015-09-19,85,68,60,3,0
2015-09-20,82,63,60,3,0
2015-09-21,84,64,57,4,0
2015-09-22,84,64,56,4,0
2015-09-23,81,62,58,2,0
2015-09-24,82,58,49,2,0
2015-09-25,84,64,58,2,0
2015-09-26,82,59,54,3,0
2015-09-27,81,59,50,2,0
2015-09-28,79,63,64,3,0
2015-09-29,81,64,63,2,0
2015-09-30,83,62,56,2,0
2015-10-01,82,60,52,4,0
2015-10-02,78,50,45,5,0
2015-10-03,72,43,40,3,0
2015-10-04,73,47,45,2,0
2015-10-05,76,52,45,2,0
2015-10-06,77,53,44,3,0
2015-10-07,77,58,54,3,0
2015-10-08,80,64,64,3,0
2015-10-09,80,64,62,2,0
2015-10-10,79,59,56,3,0
2015-10-11,80,61,55,4,0
2015-10-12,86,67,62,6,0
